ATAR,Aggregate
99.95,89.30
99.90,89.05
99.85,88.85
99.80,88.65
99.75,88.55
99.70,88.40
99.65,88.30
99.60,88.20
99.55,88.10
99.50,88.00
99.45,87.85
99.40,87.75
99.35,87.70
99.30,87.60
99.25,87.45
99.20,87.35
99.15,87.25
99.10,87.10
99.05,87.00
99.00,86.95
98.95,86.80
98.90,86.75
98.85,86.60
98.80,86.50
98.75,86.40
98.70,86.30
98.65,86.20
98.60,86.10
98.55,86.05
98.50,86.00
98.45,85.90
98.40,85.85
98.35,85.70
98.30,85.65
98.25,85.50
98.20,85.45
98.15,85.35
98.10,85.30
98.05,85.20
98.00,85.10
97.95,85.05
97.90,84.95
97.85,84.80
97.80,84.75
97.75,84.65
97.70,84.60
97.65,84.50
97.60,84.45
97.55,84.30
97.50,84.25
97.45,84.15
97.40,84.10
97.35,84.00
97.30,83.90
97.25,83.85
97.20,83.75
97.15,83.70
97.10,83.65
97.05,83.60
97.00,83.45
96.95,83.40
96.90,83.30
96.85,83.25
96.80,83.15
96.75,83.10
96.70,83.00
96.65,82.90
96.60,82.85
96.55,82.80
96.50,82.75
96.45,82.65
96.40,82.55
96.35,82.50
96.30,82.45
96.25,82.40
96.20,82.35
96.10,82.30
96.05,82.20
96.00,82.10
95.95,82.05
95.90,82.00
95.85,81.95
95.80,81.90
95.75,81.80
95.70,81.70
95.65,81.65
95.60,81.60
95.55,81.55
95.50,81.50
95.45,81.45
95.40,81.40
95.35,81.35
95.30,81.25
95.25,81.20
95.20,81.15
95.15,81.10
95.10,81.05
95.05,80.95
95.00,80.90
94.95,80.85
94.90,80.80
94.85,80.75
94.80,80.70
94.75,80.65
94.65,80.60
94.60,80.50
94.55,80.45
94.50,80.35
94.45,80.30
94.40,80.25
94.35,80.20
94.30,80.15
94.25,80.10
94.20,80.05
94.15,80.00
94.10,79.90
94.05,79.85
94.00,79.80
93.95,79.75
93.90,79.70
93.85,79.65
93.80,79.60
93.75,79.55
93.65,79.45
93.60,79.40
93.55,79.35
93.45,79.30
93.40,79.25
93.35,79.20
93.30,79.15
93.25,79.10
93.20,79.05
93.15,79.00
93.10,78.95
93.05,78.90
93.00,78.80
